Date : 2025-11-14 02:21:28
Directory : /home/qlt/zeno-wallet
Total : 244 files,  21952 codes, 433 comments, 2384 blanks, all 24769 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| static                                                       |         29 |        552 |          5 |         18 |        575 |
| static (Files)                                               |          9 |        146 |          0 |          2 |        148 |
| static/fiat                                                  |          7 |        245 |          0 |          7 |        252 |
| static/nft                                                   |          1 |         16 |          0 |          0 |         16 |
| static/token                                                 |         12 |        145 |          5 |          9 |        159 |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                     | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/qlt/zeno-wallet/CHANGES.md                             | Markdown           |          3 |          0 |          6 |          9 |
| /home/qlt/zeno-wallet/README.md                              | Markdown           |          1 |          0 |          3 |          4 |
| /home/qlt/zeno-wallet/ROUTER_ENHANCEMENTS.md                 | Markdown           |         45 |          0 |         11 |         56 |
| /home/qlt/zeno-wallet/index.html                             | HTML               |         12 |          0 |          1 |         13 |
| /home/qlt/zeno-wallet/package.json                           | JSON               |         32 |          0 |          1 |         33 |
| /home/qlt/zeno-wallet/pnpm-lock.yaml                         | YAML               |        958 |          0 |        268 |      1,226 |
| /home/qlt/zeno-wallet/postcss.config.js                      | JavaScript         |          5 |          0 |          0 |          5 |
| /home/qlt/zeno-wallet/scripts/gen-i18n-types.js              | JavaScript         |         43 |         15 |          9 |         67 |
| /home/qlt/zeno-wallet/src-tauri/Cargo.lock                   | TOML               |      7,216 |          2 |        736 |      7,954 |
| /home/qlt/zeno-wallet/src-tauri/Cargo.toml                   | TOML               |         36 |          4 |         12 |         52 |
| /home/qlt/zeno-wallet/src-tauri/build.rs                     | Rust               |          3 |          0 |          1 |          4 |
| /home/qlt/zeno-wallet/src-tauri/capabilities/default.json    | JSON               |         12 |          0 |          0 |         12 |
| /home/qlt/zeno-wallet/src-tauri/capabilities/mobile.json     | JSON               |         14 |          0 |          0 |         14 |
| /home/qlt/zeno-wallet/src-tauri/notice.md                    | Markdown           |          2 |          0 |          1 |          3 |
| /home/qlt/zeno-wallet/src-tauri/src/airgap/airgap.rs         | Rust               |          0 |          0 |          1 |          1 |
| /home/qlt/zeno-wallet/src-tauri/src/browser/mod.rs           | Rust               |          1 |          0 |          0 |          1 |
| /home/qlt/zeno-wallet/src-tauri/src/browser/webview.rs       | Rust               |         66 |         20 |         14 |        100 |
| /home/qlt/zeno-wallet/src-tauri/src/constants.rs             | Rust               |          3 |          0 |          1 |          4 |
| /home/qlt/zeno-wallet/src-tauri/src/core/account.rs          | Rust               |        152 |          5 |         20 |        177 |
| /home/qlt/zeno-wallet/src-tauri/src/core/db.rs               | Rust               |        547 |         20 |         67 |        634 |
| /home/qlt/zeno-wallet/src-tauri/src/core/keystore.rs         | Rust               |          0 |          0 |          1 |          1 |
| /home/qlt/zeno-wallet/src-tauri/src/core/mod.rs              | Rust               |          3 |          0 |          2 |          5 |
| /home/qlt/zeno-wallet/src-tauri/src/core/signer.rs           | Rust               |          0 |          0 |          1 |          1 |
| /home/qlt/zeno-wallet/src-tauri/src/core/state.rs            | Rust               |        232 |          8 |         22 |        262 |
| /home/qlt/zeno-wallet/src-tauri/src/core/update.rs           | Rust               |         42 |          6 |          7 |         55 |
| /home/qlt/zeno-wallet/src-tauri/src/error.rs                 | Rust               |         86 |          9 |         11 |        106 |
| /home/qlt/zeno-wallet/src-tauri/src/evm/eip191.rs            | Rust               |          8 |          0 |          3 |         11 |
| /home/qlt/zeno-wallet/src-tauri/src/evm/eip712.rs            | Rust               |        349 |         47 |         37 |        433 |
| /home/qlt/zeno-wallet/src-tauri/src/evm/evm.rs               | Rust               |         37 |          5 |          4 |         46 |
| /home/qlt/zeno-wallet/src-tauri/src/indexer/metadata.rs      | Rust               |          0 |          0 |          1 |          1 |
| /home/qlt/zeno-wallet/src-tauri/src/lib.rs                   | Rust               |         42 |          4 |          3 |         49 |
| /home/qlt/zeno-wallet/src-tauri/src/main.rs                  | Rust               |          4 |          1 |          2 |          7 |
| /home/qlt/zeno-wallet/src-tauri/src/rpc/provider.rs          | Rust               |         21 |          0 |          6 |         27 |
| /home/qlt/zeno-wallet/src-tauri/src/spv/helios.rs            | Rust               |          0 |         23 |          4 |         27 |
| /home/qlt/zeno-wallet/src-tauri/src/state.rs                 | Rust               |        126 |          9 |         22 |        157 |
| /home/qlt/zeno-wallet/src-tauri/src/types.rs                 | Rust               |         10 |          0 |          2 |         12 |
| /home/qlt/zeno-wallet/src-tauri/src/utils/i18n.rs            | Rust               |         50 |          6 |          8 |         64 |
| /home/qlt/zeno-wallet/src-tauri/src/utils/mod.rs             | Rust               |          4 |          0 |          2 |          6 |
| /home/qlt/zeno-wallet/src-tauri/src/utils/ps_check.rs        | Rust               |        209 |         20 |         26 |        255 |
| /home/qlt/zeno-wallet/src-tauri/src/utils/qr.rs              | Rust               |         10 |          1 |          2 |         13 |
| /home/qlt/zeno-wallet/src-tauri/src/utils/time.rs            | Rust               |         43 |          9 |         12 |         64 |
| /home/qlt/zeno-wallet/src-tauri/tauri.conf.json              | JSON               |         37 |          0 |          1 |         38 |
| /home/qlt/zeno-wallet/src/App.svelte                         | Svelte             |         94 |          0 |         17 |        111 |
| /home/qlt/zeno-wallet/src/abis/erc1155.json                  | JSON               |        335 |          0 |          1 |        336 |
| /home/qlt/zeno-wallet/src/abis/erc20.json                    | JSON               |        117 |          0 |          1 |        118 |
| /home/qlt/zeno-wallet/src/abis/erc721.json                   | JSON               |        352 |          0 |          1 |        353 |
| /home/qlt/zeno-wallet/src/abis/weth.json                     | JSON               |        279 |          0 |          1 |        280 |
| /home/qlt/zeno-wallet/src/app.pcss                           | PostCSS            |        450 |          5 |         89 |        544 |
| /home/qlt/zeno-wallet/src/components/accountList.svelte      | Svelte             |        254 |          0 |         22 |        276 |
| /home/qlt/zeno-wallet/src/components/activityRemote.svelte   | Svelte             |        148 |          0 |         13 |        161 |
| /home/qlt/zeno-wallet/src/components/addAccount.svelte       | Svelte             |        118 |          0 |         13 |        131 |
| /home/qlt/zeno-wallet/src/components/autolock.svelte         | Svelte             |        292 |          0 |         27 |        319 |
| /home/qlt/zeno-wallet/src/components/chainSelector.svelte    | Svelte             |        109 |          0 |          8 |        117 |
| /home/qlt/zeno-wallet/src/components/changePassword.svelte   | Svelte             |        268 |          0 |         18 |        286 |
| /home/qlt/zeno-wallet/src/components/createAccount.svelte    | Svelte             |        392 |          0 |         30 |        422 |
| /home/qlt/zeno-wallet/src/components/currencySelector.svelte | Svelte             |         83 |          0 |          6 |         89 |
| /home/qlt/zeno-wallet/src/components/deleteAccount.svelte    | Svelte             |        102 |          0 |          9 |        111 |
| /home/qlt/zeno-wallet/src/components/fileLoad.svelte         | Svelte             |        196 |          0 |         24 |        220 |
| /home/qlt/zeno-wallet/src/components/footer.svelte           | Svelte             |         68 |          0 |         11 |         79 |
| /home/qlt/zeno-wallet/src/components/header.svelte           | Svelte             |        303 |          0 |         27 |        330 |
| /home/qlt/zeno-wallet/src/components/importAccount.svelte    | Svelte             |        536 |          0 |         38 |        574 |
| /home/qlt/zeno-wallet/src/components/index.ts                | TypeScript         |         28 |          0 |          5 |         33 |
| /home/qlt/zeno-wallet/src/components/languageSelector.svelte | Svelte             |         60 |          0 |          9 |         69 |
| /home/qlt/zeno-wallet/src/components/modal.svelte            | Svelte             |        268 |          0 |         25 |        293 |
| /home/qlt/zeno-wallet/src/components/navLeft.svelte          | Svelte             |         41 |          0 |          9 |         50 |
| /home/qlt/zeno-wallet/src/components/navPanel.svelte         | Svelte             |        539 |          0 |         29 |        568 |
| /home/qlt/zeno-wallet/src/components/nftBalace.svelte        | Svelte             |        159 |          0 |         17 |        176 |
| /home/qlt/zeno-wallet/src/components/nftDetail.svelte        | Svelte             |         67 |          0 |          9 |         76 |
| /home/qlt/zeno-wallet/src/components/priceChart.svelte       | Svelte             |        141 |          0 |         20 |        161 |
| /home/qlt/zeno-wallet/src/components/resetWallet.svelte      | Svelte             |        196 |          0 |         14 |        210 |
| /home/qlt/zeno-wallet/src/components/restoreMn.svelte        | Svelte             |        270 |          0 |         18 |        288 |
| /home/qlt/zeno-wallet/src/components/scanner.svelte          | Svelte             |        158 |          0 |         20 |        178 |
| /home/qlt/zeno-wallet/src/components/switchTheme.svelte      | Svelte             |         76 |          0 |         14 |         90 |
| /home/qlt/zeno-wallet/src/components/toaster.svelte          | Svelte             |         26 |          0 |          8 |         34 |
| /home/qlt/zeno-wallet/src/components/tokenDetail.svelte      | Svelte             |         67 |          0 |          9 |         76 |
| /home/qlt/zeno-wallet/src/components/tokenSelector.svelte    | Svelte             |        155 |          0 |          9 |        164 |
| /home/qlt/zeno-wallet/src/components/tokenSetting.svelte     | Svelte             |         67 |          0 |          9 |         76 |
| /home/qlt/zeno-wallet/src/constants/constants.ts             | TypeScript         |          8 |          3 |          6 |         17 |
| /home/qlt/zeno-wallet/src/crypto/account.ts                  | TypeScript         |        115 |          0 |         11 |        126 |
| /home/qlt/zeno-wallet/src/crypto/airgap_signer.ts            | TypeScript         |          0 |          0 |          1 |          1 |
| /home/qlt/zeno-wallet/src/crypto/balance.ts                  | TypeScript         |         43 |          0 |          7 |         50 |
| /home/qlt/zeno-wallet/src/crypto/chains.ts                   | TypeScript         |        109 |          1 |         16 |        126 |
| /home/qlt/zeno-wallet/src/crypto/ens.ts                      | TypeScript         |          0 |          0 |          1 |          1 |
| /home/qlt/zeno-wallet/src/crypto/fiat.ts                     | TypeScript         |         30 |          0 |         13 |         43 |
| /home/qlt/zeno-wallet/src/crypto/functions_selector.ts       | TypeScript         |        385 |         15 |         27 |        427 |
| /home/qlt/zeno-wallet/src/crypto/index.ts                    | TypeScript         |          4 |          0 |          1 |          5 |
| /home/qlt/zeno-wallet/src/crypto/local_signer.ts             | TypeScript         |          0 |          0 |          1 |          1 |
| /home/qlt/zeno-wallet/src/crypto/nfts.ts                     | TypeScript         |          0 |          0 |          1 |          1 |
| /home/qlt/zeno-wallet/src/crypto/tokens.ts                   | TypeScript         |        109 |          1 |         21 |        131 |
| /home/qlt/zeno-wallet/src/locales/en.json                    | JSON               |          7 |          0 |          0 |          7 |
| /home/qlt/zeno-wallet/src/locales/terms/en.ts                | TypeScript         |        108 |          0 |          1 |        109 |
| /home/qlt/zeno-wallet/src/locales/terms/index.ts             | TypeScript         |          2 |          0 |          2 |          4 |
| /home/qlt/zeno-wallet/src/locales/terms/zh.ts                | TypeScript         |        108 |          1 |          2 |        111 |
| /home/qlt/zeno-wallet/src/locales/zh.json                    | JSON               |          7 |          0 |          0 |          7 |
| /home/qlt/zeno-wallet/src/main.ts                            | TypeScript         |          8 |          1 |          3 |         12 |
| /home/qlt/zeno-wallet/src/pages/QR.svelte                    | Svelte             |         50 |          0 |          7 |         57 |
| /home/qlt/zeno-wallet/src/pages/Settings.svelte              | Svelte             |         50 |          0 |          8 |         58 |
| /home/qlt/zeno-wallet/src/pages/Sign.svelte                  | Svelte             |         48 |          0 |          8 |         56 |
| /home/qlt/zeno-wallet/src/preload.js                         | JavaScript         |        115 |         19 |         16 |        150 |
| /home/qlt/zeno-wallet/src/provider/ankr.ts                   | TypeScript         |        273 |         17 |         29 |        319 |
| /home/qlt/zeno-wallet/src/provider/ankr_type.ts              | TypeScript         |        544 |          0 |          1 |        545 |
| /home/qlt/zeno-wallet/src/provider/drpc.ts                   | TypeScript         |          0 |          0 |          1 |          1 |
| /home/qlt/zeno-wallet/src/states/darkMode.svelte.ts          | TypeScript         |         61 |          3 |         17 |         81 |
| /home/qlt/zeno-wallet/src/states/db.ts                       | TypeScript         |         62 |          6 |         17 |         85 |
| /home/qlt/zeno-wallet/src/states/error.ts                    | TypeScript         |         16 |          0 |          2 |         18 |
| /home/qlt/zeno-wallet/src/states/index.ts                    | TypeScript         |          5 |          0 |          5 |         10 |
| /home/qlt/zeno-wallet/src/states/locale.svelte.ts            | TypeScript         |         57 |          0 |          9 |         66 |
| /home/qlt/zeno-wallet/src/states/router.svelte.ts            | TypeScript         |        118 |         38 |         29 |        185 |
| /home/qlt/zeno-wallet/src/states/settings.svelte.ts          | TypeScript         |         45 |          5 |          7 |         57 |
| /home/qlt/zeno-wallet/src/states/toastState.svelte.ts        | TypeScript         |         40 |          0 |         10 |         50 |
| /home/qlt/zeno-wallet/src/states/type.ts                     | TypeScript         |        158 |          3 |         23 |        184 |
| /home/qlt/zeno-wallet/src/svg/account.svelte                 | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/add-circle.svelte              | Svelte             |          8 |          0 |          0 |          8 |
| /home/qlt/zeno-wallet/src/svg/add.svelte                     | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/adjust-filled.svelte           | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/adjust.svelte                  | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/alert-box.svelte               | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/alert-circle.svelte            | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/alert-triangle.svelte          | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/apps-filled.svelte             | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/apps.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/arrow-back.svelte              | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/arrow-down-circle.svelte       | Svelte             |          8 |          0 |          0 |          8 |
| /home/qlt/zeno-wallet/src/svg/arrow-down-filled.svelte       | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/arrow-down.svelte              | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/arrow-forward.svelte           | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/arrow-up-down.svelte           | Svelte             |          6 |          0 |          1 |          7 |
| /home/qlt/zeno-wallet/src/svg/book.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/bridge.svelte                  | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/camera.svelte                  | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/chart.svelte                   | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/check.svelte                   | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/chevrons-right.svelte          | Svelte             |         44 |          0 |          5 |         49 |
| /home/qlt/zeno-wallet/src/svg/clock.svelte                   | Svelte             |          4 |          0 |          2 |          6 |
| /home/qlt/zeno-wallet/src/svg/close.svelte                   | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/cloud-down.svelte              | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/cloud-up.svelte                | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/cloud.svelte                   | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/contract.svelte                | Svelte             |          6 |          0 |          1 |          7 |
| /home/qlt/zeno-wallet/src/svg/copied.svelte                  | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/copy.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/currency.svelte                | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/darkmode.svelte                | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/delete.svelte                  | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/discord.svelte                 | Svelte             |         14 |          0 |          2 |         16 |
| /home/qlt/zeno-wallet/src/svg/discover-filled.svelte         | Svelte             |          4 |          0 |          1 |          5 |
| /home/qlt/zeno-wallet/src/svg/discover.svelte                | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/dollar.svelte                  | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/down.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/download.svelte                | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/edit-filled.svelte             | Svelte             |          4 |          0 |          1 |          5 |
| /home/qlt/zeno-wallet/src/svg/edit.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/explorer-filled.svelte         | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/explorer.svelte                | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/eye-off.svelte                 | Svelte             |          4 |          0 |          1 |          5 |
| /home/qlt/zeno-wallet/src/svg/eye.svelte                     | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/faceid.svelte                  | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/gas.svelte                     | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/github.svelte                  | Svelte             |         14 |          0 |          0 |         14 |
| /home/qlt/zeno-wallet/src/svg/heart-filled.svelte            | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/heart.svelte                   | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/help-filled.svelte             | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/help.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/home.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/index.ts                       | TypeScript         |         87 |          0 |          1 |         88 |
| /home/qlt/zeno-wallet/src/svg/lang.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/loading.svelte                 | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/locked.svelte                  | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/medium.svelte                  | Svelte             |         15 |          0 |          0 |         15 |
| /home/qlt/zeno-wallet/src/svg/more-horiz.svelte              | Svelte             |          3 |          0 |          1 |          4 |
| /home/qlt/zeno-wallet/src/svg/more-vert.svelte               | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/nft-filled.svelte              | Svelte             |         11 |          0 |          0 |         11 |
| /home/qlt/zeno-wallet/src/svg/nft.svelte                     | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/paste.svelte                   | Svelte             |          7 |          0 |          0 |          7 |
| /home/qlt/zeno-wallet/src/svg/pin.svelte                     | Svelte             |          4 |          0 |          1 |          5 |
| /home/qlt/zeno-wallet/src/svg/plug-filled.svelte             | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/qrcode.svelte                  | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/question.svelte                | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/receive.svelte                 | Svelte             |          4 |          0 |          1 |          5 |
| /home/qlt/zeno-wallet/src/svg/refresh.svelte                 | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/safeGuard.svelte               | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/save.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/scan-focus.svelte              | Svelte             |         11 |          0 |          0 |         11 |
| /home/qlt/zeno-wallet/src/svg/scan.svelte                    | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/search.svelte                  | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/send-filled.svelte             | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/setting-filled.svelte          | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/setting.svelte                 | Svelte             |         18 |          0 |          1 |         19 |
| /home/qlt/zeno-wallet/src/svg/setting2.svelte                | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/share.svelte                   | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/spinner.svelte                 | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/staking.svelte                 | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/star.svelte                    | Svelte             |          6 |          0 |          2 |          8 |
| /home/qlt/zeno-wallet/src/svg/swap-action.svelte             | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/switch.svelte                  | Svelte             |         70 |          0 |         11 |         81 |
| /home/qlt/zeno-wallet/src/svg/telegram.svelte                | Svelte             |         16 |          0 |          2 |         18 |
| /home/qlt/zeno-wallet/src/svg/terms.svelte                   | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/trash.svelte                   | Svelte             |          6 |          0 |          0 |          6 |
| /home/qlt/zeno-wallet/src/svg/up-down.svelte                 | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/up.svelte                      | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/verified-filled.svelte         | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/verified.svelte                | Svelte             |          4 |          0 |          0 |          4 |
| /home/qlt/zeno-wallet/src/svg/x.svelte                       | Svelte             |         16 |          0 |          0 |         16 |
| /home/qlt/zeno-wallet/src/utils/clickOutside.ts              | TypeScript         |         13 |          0 |          5 |         18 |
| /home/qlt/zeno-wallet/src/utils/copypaste.ts                 | TypeScript         |         38 |          0 |         11 |         49 |
| /home/qlt/zeno-wallet/src/utils/dom.ts                       | TypeScript         |        285 |         61 |         21 |        367 |
| /home/qlt/zeno-wallet/src/utils/formatter.ts                 | TypeScript         |        146 |          6 |         30 |        182 |
| /home/qlt/zeno-wallet/src/utils/i18n.ts                      | TypeScript         |         15 |          5 |          5 |         25 |
| /home/qlt/zeno-wallet/src/utils/index.ts                     | TypeScript         |          3 |          0 |          4 |          7 |
| /home/qlt/zeno-wallet/src/utils/mediaQuery.ts                | TypeScript         |          2 |          0 |          0 |          2 |
| /home/qlt/zeno-wallet/src/utils/qrSvg.ts                     | TypeScript         |        201 |         23 |         39 |        263 |
| /home/qlt/zeno-wallet/static/draft.svg                       | XML                |         47 |          0 |          0 |         47 |
| /home/qlt/zeno-wallet/static/favicon-r.svg                   | XML                |         26 |          0 |          0 |         26 |
| /home/qlt/zeno-wallet/static/favicon.svg                     | XML                |         26 |          0 |          0 |         26 |
| /home/qlt/zeno-wallet/static/favicon_old.svg                 | XML                |          5 |          0 |          0 |          5 |
| /home/qlt/zeno-wallet/static/fiat/CNY.svg                    | XML                |         13 |          0 |          1 |         14 |
| /home/qlt/zeno-wallet/static/fiat/EUR.svg                    | XML                |        161 |          0 |          1 |        162 |
| /home/qlt/zeno-wallet/static/fiat/GBP.svg                    | XML                |         23 |          0 |          1 |         24 |
| /home/qlt/zeno-wallet/static/fiat/JPY.svg                    | XML                |          9 |          0 |          1 |         10 |
| /home/qlt/zeno-wallet/static/fiat/KRW.svg                    | XML                |         12 |          0 |          1 |         13 |
| /home/qlt/zeno-wallet/static/fiat/RUB.svg                    | XML                |         12 |          0 |          1 |         13 |
| /home/qlt/zeno-wallet/static/fiat/USD.svg                    | XML                |         15 |          0 |          1 |         16 |
| /home/qlt/zeno-wallet/static/manifest.json                   | JSON               |         34 |          0 |          0 |         34 |
| /home/qlt/zeno-wallet/static/nft/nft-placeholder.svg         | XML                |         16 |          0 |          0 |         16 |
